x,y,z
581536.59,5244599.62,1858.75
581536.59,5244599.63,1858.75
581536.59,5244599.64,1858.75
581536.59,5244599.65,1858.75
581536.59,5244599.66,1858.75
581536.59,5244599.67,1858.75
581536.59,5244599.68,1858.75
581536.59,5244599.69,1858.75
581536.59,5244599.7,1858.75
